R,G,B
115,0,0
116,0,0
116,0,0
117,0,0
118,0,0
118,0,0
119,0,0
119,0,0
119,0,0
120,0,0
120,0,0
121,0,0
121,0,0
122,0,0
122,0,0
123,0,0
123,0,0
123,0,0
124,0,0
124,0,0
124,0,0
124,0,0
124,0,0
123,0,0
121,0,0
121,0,0
120,0,0
117,0,0
116,0,0
115,0,0
112,0,0
110,0,0
108,0,0
105,0,0
103,0,0
101,0,0
98,0,0
96,0,0
94,0,0
90,0,0
86,0,0
84,0,0
81,0,0
77,0,0
72,0,0
70,0,0
66,0,0
63,0,0
60,0,0
57,0,0
55,0,0
53,0,0
51,0,0
50,0,0
51,0,0
51,0,0
52,0,0
53,0,0
55,0,0
56,0,0
58,0,0
60,0,0
62,0,0
66,0,0
70,0,0
72,0,0
74,0,0
78,0,0
80,0,0
81,0,0
84,0,0
85,0,0
87,0,0
90,0,0
93,0,0
96,0,0
97,0,0
98,0,0
99,0,0
101,0,0
102,0,0
103,0,0
106,0,0
108,0,0
109,0,0
110,0,0
110,0,0
110,0,0
112,0,0
112,0,0
113,0,0
114,0,0
114,0,0
114,0,0
114,0,0
115,0,0
115,0,0
115,0,0
115,0,0
115,0,0
115,0,0
115,0,0
116,0,0
116,0,0
116,0,0
117,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
122,0,0
123,0,0
125,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
135,0,0
136,0,0
136,0,0
137,0,0
138,0,0
139,0,0
142,0,0
143,0,0
143,0,0
144,0,0
145,0,0
146,0,0
148,0,0
149,0,0
151,0,0
151,0,0
151,0,0
151,0,0
152,0,0
152,0,0
152,0,0
152,0,0
152,0,0
152,0,0
155,0,0
156,0,0
157,0,0
155,0,0
154,0,0
152,0,0
153,0,0
152,0,0
151,0,0
151,0,0
150,0,0
153,0,0
153,0,0
154,0,0
163,0,0
179,0,0
211,0,0
239,0,0
251,0,0
252,0,0
234,0,0
204,0,0
171,0,0
162,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
1,0,0
0,0,0
13,0,0
11,0,0
13,0,0
12,0,0
13,0,0
13,0,0
13,0,0
13,0,0
12,0,0
13,0,0
14,0,0
15,0,0
25,0,0
25,0,0
27,0,0
31,0,0
32,0,0
35,0,0
38,0,0
39,0,0
40,0,0
43,0,0
48,0,0
51,0,0
53,0,0
57,0,0
59,0,0
60,0,0
63,0,0
65,0,0
66,0,0
68,0,0
74,0,0
78,0,0
80,0,0
81,0,0
85,0,0
87,0,0
90,0,0
91,0,0
92,0,0
92,0,0
95,0,0
97,0,0
95,0,0
97,0,0
99,0,0
100,0,0
102,0,0
103,0,0
105,0,0
104,0,0
107,0,0
108,0,0
109,0,0
110,0,0
112,0,0
115,0,0
114,0,0
114,0,0
115,0,0
115,0,0
116,0,0
117,0,0
117,0,0
118,0,0
118,0,0
119,0,0
119,0,0
119,0,0
120,0,0
120,0,0
121,0,0
121,0,0
122,0,0
122,0,0
123,0,0
123,0,0
124,0,0
124,0,0
124,0,0
125,0,0
125,0,0
125,0,0
123,0,0
122,0,0
122,0,0
121,0,0
117,0,0
116,0,0
115,0,0
113,0,0
112,0,0
110,0,0
107,0,0
104,0,0
102,0,0
100,0,0
97,0,0
95,0,0
91,0,0
88,0,0
86,0,0
81,0,0
76,0,0
73,0,0
71,0,0
68,0,0
64,0,0
61,0,0
58,0,0
56,0,0
54,0,0
52,0,0
51,0,0
52,0,0
52,0,0
53,0,0
54,0,0
55,0,0
57,0,0
59,0,0
61,0,0
63,0,0
68,0,0
71,0,0
73,0,0
75,0,0
79,0,0
80,0,0
81,0,0
84,0,0
85,0,0
87,0,0
91,0,0
93,0,0
96,0,0
98,0,0
99,0,0
99,0,0
102,0,0
102,0,0
103,0,0
104,0,0
106,0,0
109,0,0
110,0,0
111,0,0
111,0,0
112,0,0
113,0,0
113,0,0
114,0,0
114,0,0
113,0,0
113,0,0
116,0,0
116,0,0
116,0,0
115,0,0
115,0,0
115,0,0
115,0,0
116,0,0
117,0,0
117,0,0
117,0,0
117,0,0
118,0,0
119,0,0
120,0,0
120,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
135,0,0
136,0,0
136,0,0
137,0,0
138,0,0
139,0,0
142,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
148,0,0
149,0,0
150,0,0
150,0,0
151,0,0
151,0,0
151,0,0
152,0,0
152,0,0
152,0,0
151,0,0
152,0,0
155,0,0
156,0,0
157,0,0
156,0,0
155,0,0
152,0,0
153,0,0
152,0,0
152,0,0
151,0,0
150,0,0
153,0,0
153,0,0
154,0,0
161,0,0
164,0,0
185,0,0
217,0,0
241,0,0
253,0,0
247,0,0
231,0,0
184,0,0
165,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
1,0,0
0,0,0
13,0,0
11,0,0
13,0,0
12,0,0
13,0,0
13,0,0
12,0,0
12,0,0
11,0,0
12,0,0
14,0,0
15,0,0
23,0,0
25,0,0
27,0,0
29,0,0
33,0,0
35,0,0
36,0,0
39,0,0
42,0,0
44,0,0
49,0,0
51,0,0
53,0,0
55,0,0
58,0,0
59,0,0
64,0,0
66,0,0
66,0,0
68,0,0
72,0,0
75,0,0
77,0,0
80,0,0
83,0,0
86,0,0
89,0,0
89,0,0
90,0,0
90,0,0
94,0,0
97,0,0
96,0,0
97,0,0
98,0,0
100,0,0
102,0,0
103,0,0
105,0,0
104,0,0
107,0,0
108,0,0
109,0,0
110,0,0
112,0,0
113,0,0
114,0,0
114,0,0
115,0,0
116,0,0
116,0,0
117,0,0
117,0,0
118,0,0
118,0,0
119,0,0
119,0,0
119,0,0
120,0,0
120,0,0
121,0,0
121,0,0
122,0,0
122,0,0
123,0,0
124,0,0
124,0,0
124,0,0
125,0,0
125,0,0
125,0,0
125,0,0
124,0,0
122,0,0
122,0,0
121,0,0
118,0,0
116,0,0
115,0,0
113,0,0
113,0,0
109,0,0
107,0,0
104,0,0
103,0,0
101,0,0
98,0,0
96,0,0
92,0,0
88,0,0
84,0,0
81,0,0
77,0,0
74,0,0
72,0,0
68,0,0
65,0,0
62,0,0
59,0,0
57,0,0
56,0,0
54,0,0
53,0,0
53,0,0
53,0,0
54,0,0
56,0,0
57,0,0
59,0,0
61,0,0
63,0,0
64,0,0
70,0,0
73,0,0
74,0,0
76,0,0
79,0,0
81,0,0
82,0,0
84,0,0
86,0,0
88,0,0
91,0,0
94,0,0
96,0,0
98,0,0
99,0,0
99,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
108,0,0
110,0,0
111,0,0
111,0,0
112,0,0
113,0,0
113,0,0
114,0,0
114,0,0
113,0,0
113,0,0
116,0,0
116,0,0
116,0,0
116,0,0
116,0,0
116,0,0
115,0,0
116,0,0
117,0,0
117,0,0
117,0,0
117,0,0
118,0,0
118,0,0
119,0,0
120,0,0
123,0,0
123,0,0
124,0,0
125,0,0
126,0,0
128,0,0
130,0,0
131,0,0
132,0,0
134,0,0
135,0,0
136,0,0
136,0,0
137,0,0
138,0,0
139,0,0
141,0,0
142,0,0
143,0,0
144,0,0
144,0,0
146,0,0
147,0,0
149,0,0
150,0,0
150,0,0
150,0,0
151,0,0
151,0,0
152,0,0
152,0,0
152,0,0
151,0,0
152,0,0
155,0,0
155,0,0
157,0,0
156,0,0
155,0,0
152,0,0
153,0,0
152,0,0
152,0,0
151,0,0
152,0,0
153,0,0
153,0,0
154,0,0
161,0,0
158,0,0
168,0,0
192,0,0
220,0,0
243,0,0
254,0,0
248,0,0
215,0,0
188,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
1,0,0
0,0,0
13,0,0
11,0,0
13,0,0
12,0,0
12,0,0
12,0,0
12,0,0
11,0,0
11,0,0
11,0,0
13,0,0
14,0,0
22,0,0
23,0,0
26,0,0
28,0,0
32,0,0
34,0,0
36,0,0
39,0,0
41,0,0
44,0,0
46,0,0
50,0,0
53,0,0
55,0,0
56,0,0
59,0,0
64,0,0
66,0,0
66,0,0
67,0,0
71,0,0
74,0,0
76,0,0
79,0,0
83,0,0
85,0,0
86,0,0
88,0,0
88,0,0
88,0,0
92,0,0
95,0,0
95,0,0
97,0,0
98,0,0
100,0,0
102,0,0
103,0,0
105,0,0
104,0,0
107,0,0
108,0,0
108,0,0
110,0,0
112,0,0
113,0,0
114,0,0
114,0,0
115,0,0
115,0,0
116,0,0
117,0,0
117,0,0
118,0,0
118,0,0
119,0,0
119,0,0
119,0,0
120,0,0
120,0,0
121,0,0
121,0,0
122,0,0
122,0,0
123,0,0
124,0,0
124,0,0
124,0,0
125,0,0
125,0,0
125,0,0
126,0,0
124,0,0
122,0,0
122,0,0
121,0,0
118,0,0
116,0,0
116,0,0
113,0,0
112,0,0
109,0,0
107,0,0
104,0,0
103,0,0
100,0,0
97,0,0
95,0,0
92,0,0
86,0,0
84,0,0
81,0,0
77,0,0
74,0,0
72,0,0
68,0,0
65,0,0
62,0,0
60,0,0
59,0,0
57,0,0
55,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
59,0,0
60,0,0
62,0,0
64,0,0
66,0,0
71,0,0
74,0,0
75,0,0
77,0,0
80,0,0
81,0,0
82,0,0
85,0,0
87,0,0
88,0,0
92,0,0
95,0,0
97,0,0
99,0,0
100,0,0
100,0,0
101,0,0
103,0,0
104,0,0
105,0,0
107,0,0
108,0,0
109,0,0
111,0,0
112,0,0
112,0,0
113,0,0
114,0,0
114,0,0
114,0,0
114,0,0
113,0,0
115,0,0
115,0,0
116,0,0
116,0,0
116,0,0
117,0,0
117,0,0
118,0,0
117,0,0
117,0,0
117,0,0
118,0,0
118,0,0
119,0,0
120,0,0
120,0,0
123,0,0
123,0,0
124,0,0
125,0,0
127,0,0
128,0,0
131,0,0
131,0,0
132,0,0
134,0,0
135,0,0
136,0,0
136,0,0
136,0,0
139,0,0
140,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
147,0,0
148,0,0
149,0,0
149,0,0
150,0,0
150,0,0
151,0,0
151,0,0
152,0,0
152,0,0
151,0,0
152,0,0
155,0,0
155,0,0
156,0,0
156,0,0
156,0,0
155,0,0
154,0,0
154,0,0
152,0,0
151,0,0
152,0,0
154,0,0
155,0,0
154,0,0
158,0,0
155,0,0
158,0,0
170,0,0
193,0,0
224,0,0
247,0,0
251,0,0
240,0,0
218,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
1,0,0
0,0,0
13,0,0
11,0,0
13,0,0
12,0,0
12,0,0
12,0,0
12,0,0
11,0,0
11,0,0
11,0,0
12,0,0
14,0,0
21,0,0
22,0,0
24,0,0
28,0,0
30,0,0
34,0,0
36,0,0
38,0,0
39,0,0
41,0,0
45,0,0
50,0,0
52,0,0
56,0,0
58,0,0
59,0,0
64,0,0
65,0,0
66,0,0
67,0,0
71,0,0
74,0,0
75,0,0
77,0,0
81,0,0
82,0,0
85,0,0
86,0,0
86,0,0
88,0,0
90,0,0
93,0,0
94,0,0
94,0,0
97,0,0
100,0,0
101,0,0
102,0,0
104,0,0
104,0,0
106,0,0
108,0,0
108,0,0
110,0,0
112,0,0
113,0,0
114,0,0
114,0,0
115,0,0
115,0,0
116,0,0
116,0,0
117,0,0
118,0,0
118,0,0
118,0,0
119,0,0
119,0,0
120,0,0
120,0,0
121,0,0
121,0,0
122,0,0
122,0,0
123,0,0
123,0,0
124,0,0
124,0,0
125,0,0
125,0,0
126,0,0
126,0,0
124,0,0
122,0,0
122,0,0
121,0,0
118,0,0
117,0,0
116,0,0
113,0,0
111,0,0
109,0,0
106,0,0
104,0,0
102,0,0
100,0,0
97,0,0
95,0,0
92,0,0
86,0,0
84,0,0
81,0,0
77,0,0
74,0,0
72,0,0
68,0,0
65,0,0
63,0,0
60,0,0
59,0,0
58,0,0
55,0,0
54,0,0
54,0,0
56,0,0
57,0,0
58,0,0
60,0,0
61,0,0
63,0,0
65,0,0
67,0,0
71,0,0
74,0,0
76,0,0
77,0,0
81,0,0
82,0,0
83,0,0
86,0,0
87,0,0
89,0,0
92,0,0
95,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
102,0,0
103,0,0
106,0,0
107,0,0
108,0,0
109,0,0
112,0,0
112,0,0
112,0,0
114,0,0
114,0,0
115,0,0
115,0,0
115,0,0
114,0,0
115,0,0
115,0,0
116,0,0
116,0,0
117,0,0
117,0,0
118,0,0
119,0,0
118,0,0
118,0,0
118,0,0
118,0,0
119,0,0
120,0,0
121,0,0
121,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
131,0,0
131,0,0
132,0,0
134,0,0
135,0,0
135,0,0
135,0,0
138,0,0
139,0,0
140,0,0
140,0,0
140,0,0
141,0,0
142,0,0
143,0,0
145,0,0
146,0,0
148,0,0
148,0,0
149,0,0
149,0,0
150,0,0
150,0,0
151,0,0
151,0,0
152,0,0
151,0,0
152,0,0
155,0,0
155,0,0
156,0,0
156,0,0
156,0,0
155,0,0
154,0,0
154,0,0
154,0,0
153,0,0
152,0,0
154,0,0
155,0,0
154,0,0
154,0,0
156,0,0
157,0,0
161,0,0
175,0,0
204,0,0
231,0,0
243,0,0
246,0,0
240,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
1,0,0
0,0,0
13,0,0
11,0,0
13,0,0
12,0,0
12,0,0
12,0,0
13,0,0
12,0,0
12,0,0
12,0,0
13,0,0
13,0,0
20,0,0
22,0,0
25,0,0
28,0,0
31,0,0
34,0,0
36,0,0
38,0,0
38,0,0
41,0,0
45,0,0
50,0,0
53,0,0
56,0,0
58,0,0
60,0,0
62,0,0
64,0,0
64,0,0
66,0,0
70,0,0
72,0,0
74,0,0
77,0,0
79,0,0
81,0,0
83,0,0
83,0,0
85,0,0
87,0,0
90,0,0
92,0,0
93,0,0
93,0,0
97,0,0
99,0,0
100,0,0
102,0,0
104,0,0
104,0,0
106,0,0
108,0,0
108,0,0
110,0,0
112,0,0
113,0,0
114,0,0
114,0,0
114,0,0
115,0,0
115,0,0
116,0,0
117,0,0
117,0,0
118,0,0
118,0,0
119,0,0
119,0,0
120,0,0
120,0,0
121,0,0
121,0,0
122,0,0
122,0,0
123,0,0
123,0,0
123,0,0
124,0,0
125,0,0
125,0,0
125,0,0
126,0,0
124,0,0
122,0,0
123,0,0
122,0,0
118,0,0
117,0,0
116,0,0
114,0,0
111,0,0
109,0,0
106,0,0
104,0,0
102,0,0
100,0,0
97,0,0
94,0,0
92,0,0
86,0,0
84,0,0
82,0,0
77,0,0
74,0,0
72,0,0
69,0,0
65,0,0
62,0,0
60,0,0
59,0,0
58,0,0
55,0,0
54,0,0
54,0,0
56,0,0
57,0,0
58,0,0
59,0,0
61,0,0
63,0,0
65,0,0
67,0,0
71,0,0
74,0,0
76,0,0
78,0,0
81,0,0
83,0,0
84,0,0
86,0,0
87,0,0
89,0,0
93,0,0
95,0,0
98,0,0
100,0,0
101,0,0
101,0,0
102,0,0
103,0,0
104,0,0
106,0,0
107,0,0
109,0,0
110,0,0
112,0,0
112,0,0
112,0,0
114,0,0
115,0,0
115,0,0
116,0,0
116,0,0
116,0,0
116,0,0
116,0,0
116,0,0
117,0,0
117,0,0
117,0,0
117,0,0
118,0,0
118,0,0
118,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
131,0,0
131,0,0
132,0,0
134,0,0
134,0,0
135,0,0
135,0,0
137,0,0
138,0,0
139,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
146,0,0
147,0,0
148,0,0
148,0,0
149,0,0
149,0,0
150,0,0
151,0,0
151,0,0
152,0,0
151,0,0
152,0,0
152,0,0
155,0,0
156,0,0
157,0,0
157,0,0
156,0,0
156,0,0
155,0,0
154,0,0
153,0,0
153,0,0
156,0,0
155,0,0
155,0,0
155,0,0
158,0,0
159,0,0
163,0,0
166,0,0
181,0,0
205,0,0
223,0,0
253,0,0
255,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
1,0,0
0,0,0
13,0,0
11,0,0
13,0,0
12,0,0
12,0,0
13,0,0
14,0,0
14,0,0
13,0,0
13,0,0
13,0,0
14,0,0
21,0,0
22,0,0
25,0,0
29,0,0
31,0,0
35,0,0
37,0,0
37,0,0
40,0,0
43,0,0
46,0,0
51,0,0
53,0,0
56,0,0
57,0,0
59,0,0
62,0,0
64,0,0
64,0,0
65,0,0
70,0,0
72,0,0
74,0,0
77,0,0
79,0,0
80,0,0
82,0,0
82,0,0
84,0,0
87,0,0
88,0,0
90,0,0
90,0,0
93,0,0
96,0,0
99,0,0
99,0,0
101,0,0
102,0,0
104,0,0
106,0,0
108,0,0
108,0,0
110,0,0
110,0,0
113,0,0
114,0,0
114,0,0
114,0,0
114,0,0
115,0,0
116,0,0
116,0,0
117,0,0
117,0,0
118,0,0
119,0,0
119,0,0
120,0,0
120,0,0
121,0,0
121,0,0
122,0,0
122,0,0
123,0,0
123,0,0
123,0,0
124,0,0
124,0,0
125,0,0
125,0,0
126,0,0
124,0,0
123,0,0
123,0,0
122,0,0
118,0,0
117,0,0
116,0,0
114,0,0
112,0,0
109,0,0
106,0,0
104,0,0
102,0,0
100,0,0
97,0,0
94,0,0
90,0,0
87,0,0
85,0,0
82,0,0
77,0,0
74,0,0
72,0,0
69,0,0
65,0,0
62,0,0
60,0,0
59,0,0
58,0,0
55,0,0
54,0,0
54,0,0
55,0,0
56,0,0
58,0,0
59,0,0
60,0,0
62,0,0
65,0,0
66,0,0
71,0,0
74,0,0
76,0,0
78,0,0
81,0,0
83,0,0
84,0,0
87,0,0
88,0,0
89,0,0
93,0,0
96,0,0
98,0,0
100,0,0
101,0,0
101,0,0
102,0,0
103,0,0
104,0,0
106,0,0
107,0,0
109,0,0
110,0,0
112,0,0
112,0,0
112,0,0
114,0,0
115,0,0
116,0,0
116,0,0
116,0,0
117,0,0
117,0,0
117,0,0
117,0,0
117,0,0
117,0,0
117,0,0
116,0,0
117,0,0
118,0,0
118,0,0
119,0,0
119,0,0
121,0,0
122,0,0
123,0,0
124,0,0
123,0,0
123,0,0
125,0,0
126,0,0
127,0,0
128,0,0
131,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
135,0,0
137,0,0
138,0,0
139,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
144,0,0
146,0,0
147,0,0
148,0,0
148,0,0
149,0,0
149,0,0
150,0,0
151,0,0
151,0,0
151,0,0
151,0,0
152,0,0
152,0,0
155,0,0
156,0,0
157,0,0
157,0,0
157,0,0
156,0,0
155,0,0
154,0,0
153,0,0
153,0,0
156,0,0
155,0,0
155,0,0
155,0,0
155,0,0
160,0,0
165,0,0
162,0,0
163,0,0
181,0,0
202,0,0
215,0,0
219,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
13,0,0
11,0,0
14,0,0
13,0,0
13,0,0
12,0,0
11,0,0
12,0,0
13,0,0
13,0,0
13,0,0
15,0,0
21,0,0
23,0,0
25,0,0
28,0,0
29,0,0
32,0,0
36,0,0
38,0,0
37,0,0
41,0,0
44,0,0
47,0,0
50,0,0
51,0,0
53,0,0
53,0,0
59,0,0
59,0,0
61,0,0
65,0,0
67,0,0
70,0,0
73,0,0
75,0,0
76,0,0
79,0,0
80,0,0
83,0,0
85,0,0
88,0,0
91,0,0
93,0,0
88,0,0
90,0,0
95,0,0
98,0,0
100,0,0
102,0,0
104,0,0
106,0,0
106,0,0
108,0,0
109,0,0
110,0,0
110,0,0
112,0,0
112,0,0
112,0,0
113,0,0
114,0,0
114,0,0
115,0,0
116,0,0
117,0,0
117,0,0
118,0,0
119,0,0
119,0,0
119,0,0
120,0,0
121,0,0
121,0,0
122,0,0
122,0,0
123,0,0
123,0,0
124,0,0
124,0,0
124,0,0
124,0,0
125,0,0
126,0,0
123,0,0
123,0,0
123,0,0
121,0,0
118,0,0
118,0,0
117,0,0
114,0,0
109,0,0
108,0,0
106,0,0
103,0,0
100,0,0
98,0,0
95,0,0
92,0,0
89,0,0
88,0,0
85,0,0
82,0,0
78,0,0
74,0,0
71,0,0
69,0,0
66,0,0
63,0,0
59,0,0
58,0,0
58,0,0
56,0,0
54,0,0
54,0,0
55,0,0
57,0,0
57,0,0
58,0,0
62,0,0
62,0,0
64,0,0
68,0,0
72,0,0
72,0,0
75,0,0
79,0,0
81,0,0
83,0,0
85,0,0
88,0,0
89,0,0
89,0,0
93,0,0
97,0,0
98,0,0
99,0,0
101,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
109,0,0
110,0,0
111,0,0
112,0,0
114,0,0
114,0,0
115,0,0
115,0,0
117,0,0
117,0,0
118,0,0
118,0,0
118,0,0
118,0,0
118,0,0
118,0,0
117,0,0
117,0,0
117,0,0
118,0,0
119,0,0
119,0,0
119,0,0
120,0,0
120,0,0
121,0,0
122,0,0
123,0,0
123,0,0
123,0,0
125,0,0
126,0,0
127,0,0
128,0,0
131,0,0
132,0,0
131,0,0
133,0,0
134,0,0
134,0,0
135,0,0
137,0,0
138,0,0
139,0,0
139,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
145,0,0
148,0,0
147,0,0
148,0,0
149,0,0
149,0,0
150,0,0
150,0,0
151,0,0
152,0,0
154,0,0
154,0,0
152,0,0
151,0,0
151,0,0
152,0,0
153,0,0
155,0,0
157,0,0
155,0,0
154,0,0
156,0,0
158,0,0
153,0,0
149,0,0
147,0,0
160,0,0
152,0,0
153,0,0
156,0,0
155,0,0
149,0,0
146,0,0
142,0,0
122,0,0
97,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
13,0,0
11,0,0
14,0,0
13,0,0
13,0,0
12,0,0
12,0,0
13,0,0
14,0,0
13,0,0
14,0,0
16,0,0
22,0,0
24,0,0
25,0,0
28,0,0
29,0,0
31,0,0
33,0,0
36,0,0
37,0,0
41,0,0
44,0,0
47,0,0
49,0,0
51,0,0
52,0,0
53,0,0
58,0,0
57,0,0
59,0,0
62,0,0
66,0,0
68,0,0
71,0,0
73,0,0
73,0,0
76,0,0
79,0,0
82,0,0
84,0,0
87,0,0
90,0,0
92,0,0
88,0,0
90,0,0
95,0,0
97,0,0
100,0,0
102,0,0
104,0,0
105,0,0
105,0,0
108,0,0
108,0,0
109,0,0
109,0,0
112,0,0
112,0,0
112,0,0
113,0,0
114,0,0
114,0,0
115,0,0
116,0,0
117,0,0
117,0,0
118,0,0
119,0,0
119,0,0
120,0,0
120,0,0
121,0,0
122,0,0
122,0,0
122,0,0
123,0,0
123,0,0
124,0,0
124,0,0
124,0,0
124,0,0
125,0,0
126,0,0
123,0,0
123,0,0
123,0,0
121,0,0
118,0,0
118,0,0
117,0,0
114,0,0
109,0,0
108,0,0
106,0,0
102,0,0
100,0,0
98,0,0
95,0,0
92,0,0
89,0,0
88,0,0
85,0,0
82,0,0
78,0,0
74,0,0
71,0,0
69,0,0
66,0,0
63,0,0
60,0,0
59,0,0
58,0,0
56,0,0
55,0,0
55,0,0
56,0,0
58,0,0
58,0,0
59,0,0
62,0,0
63,0,0
65,0,0
69,0,0
72,0,0
73,0,0
75,0,0
79,0,0
81,0,0
83,0,0
86,0,0
88,0,0
89,0,0
90,0,0
93,0,0
97,0,0
98,0,0
99,0,0
101,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
109,0,0
110,0,0
111,0,0
112,0,0
114,0,0
114,0,0
115,0,0
115,0,0
117,0,0
117,0,0
118,0,0
118,0,0
117,0,0
118,0,0
118,0,0
118,0,0
117,0,0
117,0,0
117,0,0
118,0,0
119,0,0
119,0,0
119,0,0
120,0,0
120,0,0
121,0,0
122,0,0
123,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
131,0,0
131,0,0
131,0,0
133,0,0
134,0,0
134,0,0
135,0,0
137,0,0
138,0,0
139,0,0
139,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
145,0,0
147,0,0
147,0,0
148,0,0
149,0,0
150,0,0
150,0,0
150,0,0
151,0,0
152,0,0
154,0,0
154,0,0
152,0,0
151,0,0
152,0,0
152,0,0
153,0,0
155,0,0
155,0,0
158,0,0
159,0,0
156,0,0
155,0,0
153,0,0
152,0,0
151,0,0
153,0,0
156,0,0
156,0,0
151,0,0
145,0,0
134,0,0
108,0,0
79,0,0
56,0,0
41,0,0
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
1,1,1
0,1,1
13,1,1
11,1,1
14,1,1
13,1,1
14,1,1
13,1,1
13,1,1
14,1,1
14,1,1
14,1,1
15,1,1
16,1,1
24,1,1
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
31,1,1
34,1,1
37,1,1
39,1,1
43,1,1
46,1,1
48,1,1
50,1,1
51,1,1
52,1,1
55,1,1
55,1,1
57,1,1
61,1,1
64,1,1
64,1,1
67,1,1
69,1,1
72,1,1
74,1,1
77,1,1
79,1,1
81,1,1
84,1,1
88,1,1
90,1,1
87,1,1
89,1,1
92,1,1
97,1,1
99,1,1
101,1,1
103,1,1
105,1,1
104,1,1
107,1,1
108,1,1
109,1,1
109,1,1
112,1,1
112,1,1
112,1,1
114,1,1
114,1,1
114,1,1
115,1,1
116,1,1
117,1,1
117,1,1
118,1,1
119,1,1
119,1,1
120,1,1
120,1,1
121,1,1
122,1,1
122,1,1
122,1,1
123,1,1
123,1,1
124,1,1
124,1,1
124,1,1
124,1,1
125,1,1
126,1,1
123,1,1
123,1,1
123,1,1
121,1,1
118,1,1
118,1,1
117,1,1
114,1,1
108,1,1
108,1,1
106,1,1
102,1,1
100,1,1
98,1,1
95,1,1
92,1,1
89,1,1
88,1,1
85,1,1
82,1,1
78,1,1
74,1,1
71,1,1
69,1,1
66,1,1
63,1,1
60,1,1
59,1,1
59,1,1
57,1,1
56,1,1
56,1,1
57,1,1
59,1,1
59,1,1
60,1,1
63,1,1
64,1,1
66,1,1
70,1,1
73,1,1
73,1,1
76,1,1
79,1,1
82,1,1
83,1,1
86,1,1
89,1,1
89,1,1
90,1,1
93,1,1
96,1,1
98,1,1
99,1,1
101,1,1
102,1,1
104,1,1
105,1,1
106,1,1
